ID	SIRE_ped_S1	DAM_ped_S1	SIRE_ped_EBPB	DAM_ped_EBPB	Mismatch_Type
2537	1859	1863	1034	1863	SIRE
2661	1228	0	0	0	SIRE
2662	1228	0	0	0	SIRE
2705	1116	1117	1116	1805	DAM
2835	2081	1654	2081	1954	DAM
2895	1624	1064	1624	1604	DAM
2896	1624	1614	1043	1614	SIRE
2900	2021	2334	2021	2434	DAM
2980	1020	1965	1020	1962	DAM
2987	1784	2506	1784	1770	DAM
3107	2178	1046	2078	1046	SIRE
3173	2325	1183	2325	1529	DAM
3211	2124	1258	1530	1258	SIRE
3212	1530	2351	2120	2351	SIRE
3235	2362	2229	2262	2362	BOTH
3242	2375	2201	2365	2201	SIRE
3260	2533	2692	2533	1885	DAM
3261	2273	1885	2273	2530	DAM
3262	2532	2530	2532	2378	DAM
3326	2171	2299	0	0	BOTH
3327	2170	1322	0	0	BOTH
3328	2170	2303	0	0	BOTH
3329	2171	2302	0	0	BOTH
3441	2076	2334	2076	2332	DAM
3558	2278	2556	0	2556	SIRE
3724	1683	1695	1683	1692	DAM
3929	2561	3086	2561	2086	DAM
3954	3000	3232	3000	3231	DAM
3965	2683	1862	2633	1362	BOTH
4021	2775	2332	2775	2337	DAM
4025	2002	1883	2007	1883	SIRE
4077	1620	2158	1630	2158	SIRE
4162	1801	3320	1901	3320	SIRE
4194	3000	3232	3000	3231	DAM
4220	2810	2659	2081	2659	SIRE
4283	3360	2996	0	2996	SIRE
4405	3264	3513	3264	3516	DAM
4426	2243	2380	2243	2680	DAM
4433	3000	3232	3000	3231	DAM
4479	2505	1770	2502	1770	SIRE
4553	1624	2578	1624	2575	DAM
4606	0	2690	0	0	DAM
4621	3406	3407	3406	3107	DAM
4625	3079	3909	3079	3903	DAM
4671	3000	3232	3000	3231	DAM
4686	2488	3837	2488	2937	DAM
4760	1949	3068	1943	3068	SIRE
4792	3105	2908	3105	2905	DAM
4826	2709	3093	2709	0	DAM
4856	3188	3909	3188	3903	DAM
4920	2792	2504	2892	2504	SIRE
4923	3684	2798	3584	2798	SIRE
4959	2709	2892	2809	2892	SIRE
4968	2305	4071	2305	2909	DAM
4986	2366	2751	2366	2851	DAM
5007	3000	3232	3000	3231	DAM
5151	4130	3292	4130	0	DAM
5156	3522	3753	3522	3756	DAM
5193	3000	3232	3000	3231	DAM
5197	2860	2830	0	0	BOTH
5208	2021	3818	2021	3718	DAM
5220	4069	3575	4069	3537	DAM
5250	4211	3082	4211	0	DAM
5325	2394	2926	2394	2962	DAM
5343	3670	3203	3670	3202	DAM
5371	3397	4610	3397	4601	DAM
5373	3000	3232	3000	3231	DAM
5409	4217	3177	4217	1377	DAM
5410	5197	3750	4914	3750	SIRE
5439	3105	4557	3105	4556	DAM
5528	3294	2678	0	2678	SIRE
5529	3294	3979	0	3979	SIRE
5554	4736	3291	4736	0	DAM
5598	3000	3232	3000	3231	DAM
5599	3000	3479	3000	3478	DAM
5606	3462	2985	3462	0	DAM
5612	4993	2798	4993	0	DAM
5613	4993	4926	4993	4923	DAM
5634	3349	3350	3349	0	DAM
5657	3360	3993	0	3993	SIRE
5674	2647	3997	2647	3977	DAM
5676	0	3324	0	0	DAM
5689	3967	3278	3967	0	DAM
5696	4130	3273	4130	0	DAM
5697	4130	3297	4130	0	DAM
5700	4130	3277	4130	0	DAM
5706	4329	2964	4329	2965	DAM
5725	3230	3476	3229	3476	SIRE
5805	4522	4530	4522	4930	DAM
5826	3000	3232	3000	3231	DAM
5857	0	0	4756	3890	BOTH
5862	0	0	2425	1982	BOTH
6055	4736	3291	4736	0	DAM
6094	3000	3232	3000	3231	DAM
6099	5199	4231	5199	4239	DAM
6103	3251	3009	3251	5009	DAM
6105	5355	4661	5355	4681	DAM
6118	4007	4003	4007	4009	DAM
6138	2647	2887	2647	3887	DAM
6205	2729	5503	5502	5503	SIRE
6222	3378	5668	3378	0	DAM
6292	4666	4269	3711	4269	SIRE
6295	4666	4587	4666	4887	DAM
6375	5031	5717	5031	0	DAM
6377	3000	3232	3000	3231	DAM
6412	5720	5596	0	0	BOTH
6414	5158	3157	5158	5157	DAM
6421	3462	4661	3462	3463	DAM
6422	3462	3463	3462	4661	DAM
6450	3339	4977	0	4977	SIRE
6500	0	3911	1987	3911	SIRE
6571	5072	4823	3378	4823	SIRE
6572	3378	4128	4903	4128	SIRE
6580	6135	5592	6135	5892	DAM
6616	3000	3232	3000	3231	DAM
6681	5401	3750	5401	3780	DAM
6721	0	5647	0	0	DAM
6722	5196	5198	5196	4720	DAM
6802	4131	6510	4131	0	DAM
6809	6733	6731	6733	6732	DAM
6815	4081	5687	4081	0	DAM
6821	4171	5845	5845	4171	BOTH
6876	5691	5852	5691	493	DAM
6877	5691	5851	5691	0	DAM
6996	5113	5477	5113	5447	DAM
7005	5102	6415	5105	6415	SIRE
7009	5893	5531	5893	5532	DAM
7084	5935	6154	5935	6155	DAM
7092	6094	3232	6094	3231	DAM
7101	5158	5157	5158	5127	DAM
7105	3676	3674	3676	3673	DAM
7140	5912	5905	5912	5908	DAM
7173	6733	6732	6733	6731	DAM
7174	6733	6731	6733	6732	DAM
7291	3405	3409	3406	3409	SIRE
7299	5072	3273	5072	0	DAM
7300	5072	5529	5072	0	DAM
7319	6094	3232	6094	3231	DAM
7325	5031	6661	5031	0	DAM
7328	5863	6036	0	6036	SIRE
7333	5307	5505	5307	5808	DAM
7350	5135	5587	5135	0	DAM
7361	6580	5137	0	5137	SIRE
7379	4395	6058	4395	6088	DAM
7382	5856	6603	0	6603	SIRE
7392	6344	4394	6344	6394	DAM
7396	5705	3836	0	3836	SIRE
7397	5705	3837	0	3837	SIRE
7400	4965	5632	4965	0	DAM
7405	5657	3120	0	3120	SIRE
7408	4965	5644	4965	0	DAM
7425	6310	5865	6310	0	DAM
7426	5863	6391	0	6391	SIRE
7430	5601	4284	0	4284	SIRE
7433	6436	3997	6436	0	DAM
7446	4131	6510	4131	0	DAM
7528	5840	6816	5840	0	DAM
7558	6875	5751	6875	5851	DAM
7620	5307	5528	5705	5528	SIRE
7670	6501	6224	0	6224	SIRE
7719	5247	6510	5247	0	DAM
7788	5307	6629	5307	6315	DAM
7859	5642	6152	5642	6182	DAM
7879	4457	5550	4457	5505	DAM
7885	6362	6575	6362	7117	DAM
7928	6949	6661	6949	5717	DAM
7930	6949	7110	6949	5716	DAM
7935	5247	6510	5247	0	DAM
8025	5840	4173	5810	4173	SIRE
8033	5856	7123	0	7123	SIRE
8055	6832	6529	6832	6829	DAM
8056	5307	7050	5307	0	DAM
8067	4629	7044	4329	7044	SIRE
8210	5657	5960	0	5960	SIRE
8276	5699	6818	5699	6181	DAM
8279	6584	6586	6584	6584	DAM
8295	6855	6677	6855	0	DAM
8400	6077	5255	0	0	BOTH
8402	5950	5231	0	0	BOTH
8406	7434	7167	0	0	BOTH
8414	6400	7435	0	0	BOTH
8421	6744	6510	6744	6804	DAM
8422	6744	6804	6744	0	DAM
8548	6683	6057	6683	5607	DAM
8551	4835	7871	4835	7877	DAM
8570	6605	7380	6605	6125	DAM
8612	7772	6332	0	2238	BOTH
8616	7775	7543	0	7543	SIRE
8618	6912	7774	6912	0	DAM
8622	6191	6979	6191	1250	DAM
8643	7928	7323	0	7323	SIRE
8644	7928	5474	0	5474	SIRE
8655	7309	7918	7309	0	DAM
8752	6408	6595	6408	7036	DAM
8756	6077	5255	6077	6291	DAM
8759	6985	6706	6895	6706	SIRE
8849	7928	7332	7928	7322	DAM
8862	8125	7832	8125	0	DAM
8871	7826	7621	7826	6670	DAM
8872	7434	7167	7432	7167	SIRE
8905	5804	6830	5804	0	DAM
8923	5711	7676	0	7676	SIRE
8987	7164	8138	7164	8137	DAM
9106	6875	5851	6875	0	DAM
9107	8008	6586	8008	6642	DAM
9126	8275	7537	0	0	BOTH
9127	6644	6669	6644	0	DAM
9130	6570	7752	6570	0	DAM
9136	7767	8536	7767	0	DAM
9308	6724	6813	6724	8029	DAM
9327	8174	7640	8174	5084	DAM
9334	7125	7824	7125	7822	DAM
9336	7514	7504	7124	7504	SIRE
9337	7514	6602	7124	6602	SIRE
9364	8056	8305	8056	8306	DAM
9367	8056	8306	8056	8305	DAM
9369	8541	7788	8541	8540	DAM
9370	7767	8041	8541	7788	BOTH
9371	5849	7625	7767	8041	BOTH
9372	5158	5381	5849	7625	BOTH
9373	6724	7528	5158	5381	BOTH
9377	7361	8590	7631	8590	SIRE
9381	6580	5137	6580	5132	DAM
9386	7693	6446	7693	7684	DAM
