intron	1517508	1522950
exon	1522951	1523048
intron	1523049	1523638
exon	1523639	1523724
intron	1523725	1533715
exon	1533716	1533798
intron	1533799	1550185
exon	1550186	1550281
intron	1550282	1559899
exon	1559900	1560229
intron	1560230	1576044
exon	1576045	1576247
nc	1576248	1576329
exon	1576330	1576617
nc	1576618	1580738
exon	1580739	1581015
nc	1581016	1581901
exon	1581902	1582026
nc	1582027	1585411
exon	1585412	1585509
intron	1585510	1588939
exon	1588940	1588998
intron	1588999	1589077
exon	1589078	1589215
intron	1589216	1590289
exon	1590290	1590485
intron	1590486	1591435
exon	1591436	1591478
intron	1591479	1592148
exon	1592149	1592248
intron	1592249	1593678
exon	1593679	1593730
intron	1593731	1593822
exon	1593823	1594006
intron	1594007	1595207
exon	1595208	1595358
intron	1595359	1597571
exon	1597572	1597827
intron	1597828	1599830
exon	1599831	1599888
intron	1599889	1601330
exon	1601331	1601458
intron	1601459	1601557
exon	1601558	1601661
intron	1601662	1602377
exon	1602378	1602476
intron	1602477	1603364
exon	1603365	1603445
intron	1603446	1604074
exon	1604075	1604248
intron	1604249	1607201
exon	1607202	1607288
intron	1607289	1608707
exon	1608708	1608942
intron	1608943	1610312
exon	1610313	1610455
intron	1610456	1613058
exon	1613059	1613173
intron	1613174	1615535
exon	1615536	1615696
intron	1615697	1615867
exon	1615868	1616024
intron	1616025	1616128
exon	1616129	1616302
intron	1616303	1617505
exon	1617506	1617611
intron	1617612	1617958
exon	1617959	1618574
nc	1618575	1619284
exon	1619285	1620068
nc	1620069	1620095
exon	1620096	1620838
nc	1620839	1621367
exon	1621368	1621791
intron	1621792	1625858
exon	1625859	1625982
intron	1625983	1626209
exon	1626210	1626322
intron	1626323	1626909
exon	1626910	1627015
intron	1627016	1629773
exon	1629774	1629871
intron	1629872	1630076
exon	1630077	1630290
intron	1630291	1631538
exon	1631539	1631607
intron	1631608	1633688
exon	1633689	1633819
intron	1633820	1635196
exon	1635197	1635257
intron	1635258	1636552
exon	1636553	1636737
intron	1636738	1638764
exon	1638765	1638908
intron	1638909	1646175
exon	1646176	1646376
intron	1646377	1651309
exon	1651310	1651435
intron	1651436	1653422
exon	1653423	1653523
intron	1653524	1653728
exon	1653729	1653846
intron	1653847	1654481
exon	1654482	1654597
intron	1654598	1661100
exon	1661101	1661228
intron	1661229	1664029
exon	1664030	1664143
intron	1664144	1665147
exon	1665148	1665235
intron	1665236	1665569
exon	1665570	1665824
intron	1665825	1674747
exon	1674748	1674857
nc	1674858	1691959
exon	1691960	1692701
intron	1692702	1692838
exon	1692839	1693023
intron	1693024	1693301
exon	1693302	1693629
intron	1693630	1694435
exon	1694436	1694707
intron	1694708	1695051
exon	1695052	1695129
nc	1695130	1697162
exon	1697163	1697256
intron	1697257	1702801
exon	1702802	1703152
intron	1703153	1703321
exon	1703322	1703394
intron	1703395	1707192
exon	1707193	1707252
intron	1707253	1708334
exon	1708335	1708468
intron	1708469	1708471
exon	1708472	1708491
intron	1708492	1715593
exon	1715594	1715818
